EDGE_TYPE,EXTERNAL,GID_STS,LABEL,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
4,1,1,1,1,1,3,0,1498934261307423864,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,2,1
4,1,0,1,1,1,3,0,1498934261307423864,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,2,1
2,1,1,1,1,1,3,0,1498934261485869655,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d7ae473-5e8c-11e7-92db-080027d14c66,0,1
3,1,0,1,1,1,3,0,1498934261488789762,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,3,1
4,1,1,1,1,1,3,0,1498934261488789762,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,3,1
4,1,1,1,1,1,3,0,1498934261526812654,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,4,1
3,1,0,1,1,1,3,0,1498934261526812654,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,4,1
4,1,1,1,1,1,3,0,1498934261526812654,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5d47554c-5e8c-11e7-92d9-080027d14c66,4,1
2,1,0,1,1,1,3,1,1498934261736768754,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5da1cf23-5e8c-11e7-92dc-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934262409981588,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e07a383-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,1,1498934262600933249,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e24f204-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934262732927350,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e390a85-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934262886127924,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e503320-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,1,1498934263358853652,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5e987c50-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,0,1498934263486788630,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5eac3411-5e8c-11e7-92e1-080027d14c66,0,1
2,1,1,1,1,1,3,1,1498934263714788937,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:5ece92b3-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934268072908859,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:616821c5-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934268801998427,0,a4b43224-b384-420d-9a4c-2ceb1f436529:61d76419-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934273075900177,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:64636f1b-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934274077894650,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:64fc5077-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934273804988173,0,a4b43224-b384-420d-9a4c-2ceb1f436529:64d2adc5-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934274806001951,0,a4b43224-b384-420d-9a4c-2ceb1f436529:656b6db8-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934291085902858,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:6f207b7a-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934291814996062,0,a4b43224-b384-420d-9a4c-2ceb1f436529:6f8ee69f-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934296095896431,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:721c014b-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934297096903576,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:72b4c00d-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934296818994835,0,a4b43224-b384-420d-9a4c-2ceb1f436529:728a57cf-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934297821003150,0,a4b43224-b384-420d-9a4c-2ceb1f436529:73233d96-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934297940042660,0,a4b43224-b384-420d-9a4c-2ceb1f436529:73355b7c-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934297941952879,0,a4b43224-b384-420d-9a4c-2ceb1f436529:7335a0b0-5e8c-11e7-a26e-080027d14c67,0,1
2,1,0,1,1,1,3,0,1498934302145909492,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:75b72131-5e8c-11e7-92e2-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934302147526066,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:75b7843f-5e8c-11e7-92e2-080027d14c66,0,1
2,1,1,1,1,1,3,1,1498934310365252001,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:7a9d11e5-5e8c-11e7-92e3-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934314107895983,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:7cd882ce-5e8c-11e7-92e3-080027d14c66,0,1
2,1,0,1,1,1,3,0,1498934314830994372,0,a4b43224-b384-420d-9a4c-2ceb1f436529:7d46db12-5e8c-11e7-a26e-080027d14c67,0,1
